id,questions,answers
1,What is the capital of France?,Paris is the capital of France.
2,Who wrote the play Romeo and Juliet?,William Shakespeare wrote Romeo and Juliet.
3,What is the chemical symbol for water?,The chemical symbol for water is H2O.
4,Who painted the Sistine Chapel ceiling?,Michelangelo painted the Sistine Chapel ceiling.
5,What is the largest mammal?,The blue whale is the largest mammal.
6,What is the boiling point of water at sea level?,100 degrees Celsius is the boiling point of water at sea level.
7,What planet is known as the Red Planet?,Mars is known as the Red Planet.
8,What is the currency of Japan?,The currency of Japan is the Yen.
9,Who developed the theory of relativity?,Albert Einstein developed the theory of relativity.
10,What is the tallest mountain in the world?,Mount Everest is the tallest mountain in the world.
11,Who is known as the father of computers?,Charles Babbage is known as the father of computers.
12,What is the hardest natural substance?,Diamond is the hardest natural substance.
13,Which element has the chemical symbol O?,Oxygen has the chemical symbol O.
14,What is the longest river in the world?,The Nile is often considered the longest river in the world.
15,What gas do plants absorb from the atmosphere?,Plants absorb carbon dioxide from the atmosphere.
16,What is the process by which plants make their food?,Photosynthesis is the process by which plants make their food.
17,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.
18,What is the speed of light in vacuum?,The speed of light in vacuum is approximately 299,792 kilometers per second.
19,Who discovered penicillin?,Alexander Fleming discovered penicillin.
20,What is the largest continent?,Asia is the largest continent.
